student_id,branch,year,sleep_hours,study_hours,screen_time,stress_level,workload,exercise_hours,caffeine_intake,break_frequency,assignment_pressure,feedback_text,fatigue_level
260,Computer Engineering,1,3.9,4.9,4.4,5,8,1,2,1,5,Managing studies but feeling some stress,medium
261,Computer Engineering,2,5.3,8.9,8.7,5,9,0.1,1,3,8,Managing studies but feeling some stress,medium
262,Mechanical Engineering,2,3,3.8,8.2,9,7,0.1,3,3,4,Too many assignments and exams causing fatigue,high
263,Computer Engineering,2,8.2,9.8,3.8,10,3,1.8,4,2,2,Too many assignments and exams causing fatigue,high
264,Civil Engineering,4,3.5,8.2,3.1,2,9,0.3,4,4,6,Feeling relaxed and focused,low
265,Electrical Engineering,1,6.6,2.9,8.9,2,3,1.1,2,4,9,Feeling relaxed and focused,low
266,Computer Engineering,4,8.9,6.5,9.7,6,5,0.8,3,4,1,Managing studies but feeling some stress,medium
267,Computer Engineering,4,6.2,9.9,2.3,9,9,0.7,0,2,7,Too many assignments and exams causing fatigue,high
268,Mechanical Engineering,2,8.5,5.8,7.9,1,3,1.8,4,4,9,Feeling relaxed and focused,low
269,Information Technology,2,4.4,3.5,9.3,9,7,0,2,3,9,Too many assignments and exams causing fatigue,high
270,Mechanical Engineering,4,7.6,5.9,8.9,9,1,1.3,3,1,3,Too many assignments and exams causing fatigue,high
271,Civil Engineering,1,6.2,6.1,9.7,9,4,1.9,3,3,5,Too many assignments and exams causing fatigue,high
272,Electrical Engineering,3,7.3,7.9,8.1,5,4,1.1,3,3,8,Managing studies but feeling some stress,medium
273,Mechanical Engineering,4,3.4,7.6,5.5,9,7,1.9,3,1,8,Too many assignments and exams causing fatigue,high
274,Computer Engineering,1,3.9,5.2,4.5,4,8,0.1,3,3,4,Feeling relaxed and focused,medium
275,Electrical Engineering,2,3.8,3.7,4.6,2,1,0.8,4,2,1,Feeling relaxed and focused,low
276,Electrical Engineering,2,7.1,7.2,7.8,6,5,0.5,2,1,1,Managing studies but feeling some stress,medium
277,Computer Engineering,1,8.1,5.4,8,4,7,1.5,3,3,4,Feeling relaxed and focused,medium
278,Mechanical Engineering,3,7.5,3.1,3.6,6,4,2,1,5,6,Managing studies but feeling some stress,medium
279,Computer Engineering,2,3.2,9.2,8.9,3,4,0.5,1,3,8,Feeling relaxed and focused,low
280,Information Technology,2,8.2,7.5,7.7,6,4,1.3,2,2,6,Managing studies but feeling some stress,medium
281,Electrical Engineering,2,5.1,7.5,6.5,2,6,0.4,0,4,9,Feeling relaxed and focused,low
282,Electronics Engineering,1,5.4,8.6,5.8,2,7,1.1,0,3,9,Feeling relaxed and focused,low
283,Electronics Engineering,4,3.6,6.2,6.3,9,2,0.9,0,4,2,Too many assignments and exams causing fatigue,high
284,Civil Engineering,2,7.4,8.5,3.3,7,5,1.9,1,5,1,Managing studies but feeling some stress,high
285,Computer Engineering,4,4.1,6,3.6,3,4,1.2,0,3,2,Feeling relaxed and focused,low
286,Computer Engineering,3,6.4,2.5,2.7,1,3,0.7,4,1,5,Feeling relaxed and focused,low
287,Civil Engineering,2,8,5.2,3.2,8,7,0.2,3,4,4,Too many assignments and exams causing fatigue,high
288,Civil Engineering,2,3.5,6,5.6,6,6,0.3,1,5,4,Managing studies but feeling some stress,medium
289,Civil Engineering,3,6.2,7.8,6.2,7,7,0.5,2,1,9,Managing studies but feeling some stress,high
290,Electrical Engineering,2,4.4,2.9,2.1,9,5,0.5,2,1,8,Too many assignments and exams causing fatigue,high
291,Information Technology,4,5.1,3.1,8.4,5,6,1.7,3,1,6,Managing studies but feeling some stress,medium
292,Computer Engineering,1,5.8,4.1,4.4,1,5,1.1,1,1,1,Feeling relaxed and focused,low
293,Electrical Engineering,4,5.1,4.1,9.3,10,7,1,0,3,2,Too many assignments and exams causing fatigue,high
294,Civil Engineering,1,6.9,7.9,9.7,7,2,0.2,0,3,6,Managing studies but feeling some stress,high
295,Computer Engineering,1,5.9,4,3.5,5,5,1.7,4,3,2,Managing studies but feeling some stress,medium
296,Electrical Engineering,4,6.5,7.1,5.7,3,6,1.4,4,5,5,Feeling relaxed and focused,low
297,Information Technology,4,7.4,6,2,9,6,0.1,0,5,5,Too many assignments and exams causing fatigue,high
298,Electrical Engineering,4,6.3,6.6,6.8,1,5,1.4,2,5,6,Feeling relaxed and focused,low
299,Information Technology,4,6.5,8.7,6.9,1,7,1.1,2,2,6,Feeling relaxed and focused,low
300,Civil Engineering,3,6.4,5.2,4,1,8,0.2,4,5,6,Feeling relaxed and focused,low
